"UserID","full","sur","family","Photo","active","date","place","terms","first_start","last_end","first_cv"
4491,"Emmanouil MASTORAKIS","Emmanouil","MASTORAKIS","https://www.europarl.europa.eu/mepphoto/4491.jpg",FALSE,"1947-05-25T00:00:00","Ierapetra-Kriti","5","1999-07-20T00:00:00","2004-07-19T00:00:00","Graduate of the E.M.P. School of Civil Engineering (Athens, 1970). Project engineer (1972-1973); chief engineer (1973-1976); self-employed (1976-1999)."
2308,"Marjo MATIKAINEN-KALLSTRÖM","Marjo","MATIKAINEN-KALLSTRÖM","https://www.europarl.europa.eu/mepphoto/2308.jpg",FALSE,"1965-02-03T00:00:00","Lohja","4-5","1996-11-11T00:00:00","2004-07-19T00:00:00","Qualified engineer (1992). Corrosion engineer, Neste Oy (1991-1992). Materials and corrosion engineer, IVO Oy (1992-1996). Research coordinator, Posiva Oy (since 1996)."
28383,"Ana MATO ADROVER","Ana","MATO ADROVER","https://www.europarl.europa.eu/mepphoto/28383.jpg",FALSE,"1959-09-24T00:00:00","Madrid","6","2004-07-20T00:00:00","2008-03-31T00:00:00","Graduate in Political Science and Sociology, Complutense University of Madrid. Lecturer and tutor at the Spanish National Distance Learning University (UNED)."
23881,"Marios MATSAKIS","Marios","MATSAKIS","https://www.europarl.europa.eu/mepphoto/23881.jpg",FALSE,"1954-08-02T00:00:00","Lemesos","5-5-6","2003-04-24T00:00:00","2009-07-13T00:00:00","Graduate in microbiology (B.Sc.) (London, 1976); Doctorate (Ph.D.) in biochemistry (London, 1981); Diploma in general medicine and general surgery (M.B., B. Chir.) (Cambridge, 1984); Diploma in forensic medicine (D.F.M.) and Masters Degree (M. Phil.) in forensic medicine (Glasgow, 1992); Diploma in medical jurisprudence (D.M.J.) (Path.) (United Kingdom, 1993); qualifications and practise in the field of forensic surgery (Greece, 1993) and pathological anatomy (Greece, 1994). Medical practitioner and lecturer at British medical schools (1984-1993). Forensic surgeon in Cyprus from 1994."
28516,"Yiannakis MATSIS","Yiannakis","MATSIS","https://www.europarl.europa.eu/mepphoto/28516.jpg",FALSE,"1933-10-24T00:00:00","Palaihori","6","2004-07-20T00:00:00","2009-07-13T00:00:00","Law studies. Chairman of G. Charalambous Limited, coffee grinders (1961)"
28575,"Maria MATSOUKA","Maria","MATSOUKA","https://www.europarl.europa.eu/mepphoto/28575.jpg",FALSE,"1974-01-08T00:00:00","Lepenou","6","2004-07-20T00:00:00","2009-07-13T00:00:00","Degree in Italian (1996)."
1011,"Vincenzo MATTINA","Vincenzo","MATTINA","https://www.europarl.europa.eu/mepphoto/1011.jpg",FALSE,"1940-07-29T00:00:00","Buonabitacolo (SA)","2-3","1984-07-24T00:00:00","1994-07-18T00:00:00","Graduate in Jurisprudence. Worker-student at 18 years of age; active trade unionist at 20."
1988,"Abel MATUTES JUAN","Abel","MATUTES JUAN","https://www.europarl.europa.eu/mepphoto/1988.jpg",FALSE,"1941-10-31T00:00:00","Ibiza (Baleares)","4","1994-07-19T00:00:00","1996-05-06T00:00:00","Graduate in law and economics (University of Barcelona)."
772,"Pierre MAUROY","Pierre","MAUROY","https://www.europarl.europa.eu/mepphoto/772.jpg",FALSE,"1928-07-05T00:00:00","Cartignies (Nord)","1","1979-07-17T00:00:00","1980-03-06T00:00:00",NA
1601,"Georgios MAVROS","Georgios","MAVROS","https://www.europarl.europa.eu/mepphoto/1601.jpg",FALSE,"1909-03-15T00:00:00","Kastelorizo","2","1984-07-24T00:00:00","1989-07-24T00:00:00","Graduate of the Faculty of Law of the Universities of Athens and Berlin."
28574,"Manolis MAVROMMATIS","Manolis","MAVROMMATIS","https://www.europarl.europa.eu/mepphoto/28574.jpg",FALSE,"1941-08-15T00:00:00","Platanias Chanion","6","2004-07-20T00:00:00","2009-07-13T00:00:00","Graduate in sociology and international and public relations (University of Rome, 1964). Sports editor of VIMA, NEA and OMADA newspapers and correspondent for foreign newspapers. Radio and TV journalist covering major sports events (Olympic games, world and European football championships) and events of political and cultural significance."
