"UserID","full","sur","family","Photo","active","date","place","Gender"
96718,"Olga SEHNALOVÁ","Olga","SEHNALOVÁ","https://www.europarl.europa.eu/mepphoto/96718.jpg",FALSE,"1968-10-25T00:00:00","Kromĕříž","F"
124692,"Demetris PAPADAKIS","Demetris","PAPADAKIS","https://www.europarl.europa.eu/mepphoto/124692.jpg",TRUE,"1966-08-22T00:00:00","Ammochostos","M"
96951,"Diane DODDS","Diane","DODDS","https://www.europarl.europa.eu/mepphoto/96951.jpg",FALSE,"1958-08-16T00:00:00","Banbridge","F"
124825,"Beatrix von STORCH","Beatrix","von STORCH","https://www.europarl.europa.eu/mepphoto/124825.jpg",FALSE,"1971-05-27T00:00:00","Lübeck","F"
96915,"Sergio Gaetano COFFERATI","Sergio Gaetano","COFFERATI","https://www.europarl.europa.eu/mepphoto/96915.jpg",FALSE,"1948-01-30T00:00:00","Sesto ed Uniti (Cremona)","M"
124996,"Peter LUNDGREN","Peter","LUNDGREN","https://www.europarl.europa.eu/mepphoto/124996.jpg",TRUE,"1963-02-02T00:00:00",NA,"M"
124891,"Zdzisław KRASNODĘBSKI","Zdzisław","KRASNODĘBSKI","https://www.europarl.europa.eu/mepphoto/124891.jpg",TRUE,"1953-04-11T00:00:00","Choszczno","M"
28340,"Patrizia TOIA","Patrizia","TOIA","https://www.europarl.europa.eu/mepphoto/28340.jpg",TRUE,"1950-03-17T00:00:00",NA,"F"
124781,"Alfred SANT","Alfred","SANT","https://www.europarl.europa.eu/mepphoto/124781.jpg",TRUE,"1948-02-28T00:00:00","Sliema","M"
28400,"Francisco José MILLÁN MON","Francisco José","MILLÁN MON","https://www.europarl.europa.eu/mepphoto/28400.jpg",TRUE,"1955-03-08T00:00:00","Pontevedra","M"
124889,"Agnieszka KOZŁOWSKA","Agnieszka","KOZŁOWSKA","https://www.europarl.europa.eu/mepphoto/124889.jpg",FALSE,"1969-12-04T00:00:00","Kętrzyn","F"
96743,"Michèle RIVASI","Michèle","RIVASI","https://www.europarl.europa.eu/mepphoto/96743.jpg",FALSE,"1953-02-09T00:00:00","Montélimar","F"
28365,"Pier Antonio PANZERI","Pier Antonio","PANZERI","https://www.europarl.europa.eu/mepphoto/28365.jpg",FALSE,"1955-06-06T00:00:00","Riviera D'Adda","M"
125113,"Miltiadis KYRKOS","Miltiadis","KYRKOS","https://www.europarl.europa.eu/mepphoto/125113.jpg",FALSE,"1959-04-01T00:00:00","Athina","M"
96670,"Louis MICHEL","Louis","MICHEL","https://www.europarl.europa.eu/mepphoto/96670.jpg",FALSE,"1947-09-02T00:00:00","Tirlemont","M"
2025,"Françoise GROSSETÊTE","Françoise","GROSSETÊTE","https://www.europarl.europa.eu/mepphoto/2025.jpg",FALSE,"1946-05-17T00:00:00","Lyon","F"
96993,"Lorenzo FONTANA","Lorenzo","FONTANA","https://www.europarl.europa.eu/mepphoto/96993.jpg",FALSE,"1980-04-10T00:00:00","Verona","M"
125072,"Eleftherios SYNADINOS","Eleftherios","SYNADINOS","https://www.europarl.europa.eu/mepphoto/125072.jpg",FALSE,"1955-07-06T00:00:00","Argos Orestiko","M"
4555,"Daniel HANNAN","Daniel","HANNAN","https://www.europarl.europa.eu/mepphoto/4555.jpg",FALSE,"1971-09-01T00:00:00","Lima","M"
125193,"Eleonora FORENZA","Eleonora","FORENZA","https://www.europarl.europa.eu/mepphoto/125193.jpg",FALSE,"1976-11-10T00:00:00","Bari","F"
96815,"Judith SARGENTINI","Judith","SARGENTINI","https://www.europarl.europa.eu/mepphoto/96815.jpg",FALSE,"1974-03-13T00:00:00","Amsterdam","F"
28229,"Manfred WEBER","Manfred","WEBER","https://www.europarl.europa.eu/mepphoto/28229.jpg",TRUE,"1972-07-14T00:00:00","Niederhatzkofen","M"
112744,"Tonino PICULA","Tonino","PICULA","https://www.europarl.europa.eu/mepphoto/112744.jpg",TRUE,"1961-08-31T00:00:00","Mali Lošinj","M"
110977,"Florian PHILIPPOT","Florian","PHILIPPOT","https://www.europarl.europa.eu/mepphoto/110977.jpg",FALSE,"1981-10-24T00:00:00","Croix","M"
1164,"Bruno GOLLNISCH","Bruno","GOLLNISCH","https://www.europarl.europa.eu/mepphoto/1164.jpg",FALSE,"1950-01-28T00:00:00","Neuilly-sur-Seine","M"
124767,"Edouard FERRAND","Edouard","FERRAND","https://www.europarl.europa.eu/mepphoto/124767.jpg",FALSE,"1965-04-25T00:00:00",NA,"M"
125041,"Soledad CABEZÓN RUIZ","Soledad","CABEZÓN RUIZ","https://www.europarl.europa.eu/mepphoto/125041.jpg",FALSE,"1973-09-01T00:00:00","Albaida del Aljarafe, Sevilla","F"
124730,"Fernando RUAS","Fernando","RUAS","https://www.europarl.europa.eu/mepphoto/124730.jpg",FALSE,"1949-01-15T00:00:00","Viseu","M"
96858,"Marie-Christine VERGIAT","Marie-Christine","VERGIAT","https://www.europarl.europa.eu/mepphoto/96858.jpg",FALSE,"1956-09-23T00:00:00","Roanne","F"
