"UserID","full","sur","family","Photo","active","date","place","Gender","Education (qualifications and diplomas)"
197620,"Matthew PATTEN","Matthew","PATTEN","https://www.europarl.europa.eu/mepphoto/197620.jpg",FALSE,"1962-05-21T00:00:00","Bishops Stortford","M",""
197466,"Jutta PAULUS","Jutta","PAULUS","https://www.europarl.europa.eu/mepphoto/197466.jpg",TRUE,"1967-05-09T00:00:00","Giessen","F",""
197420,"Kris PEETERS","Kris","PEETERS","https://www.europarl.europa.eu/mepphoto/197420.jpg",FALSE,"1962-05-18T00:00:00","REET","M","Qualifications and diplomas: Special master’s degree in Accountancy and Tax Law, Vlerick Management School, Ghent, Qualifications and diplomas: Master’s degree in Law, University of Antwerp, Antwerp, Qualifications and diplomas: First degree in Philosophy, University of Antwerp, Antwerp"
197563,"Mauri PEKKARINEN","Mauri","PEKKARINEN","https://www.europarl.europa.eu/mepphoto/197563.jpg",TRUE,"1947-10-06T00:00:00","Kinnula","M","1974 : Master of Social Sciences, University of Jyväskylä, 1968 : Upper secondary school graduate, Kannus co-educational secondary school"
197539,"Mikuláš PEKSA","Mikuláš","PEKSA","https://www.europarl.europa.eu/mepphoto/197539.jpg",TRUE,"1986-06-18T00:00:00","Praha","M",""
197845,"Tsvetelina PENKOVA","Tsvetelina","PENKOVA","https://www.europarl.europa.eu/mepphoto/197845.jpg",TRUE,"1988-02-19T00:00:00","Sofia","F","2013-2014 : University of Oxford, MSc in Financial Economics (Oxford, United Kingdom), 2009-2013 : Double Degree in International Business: Bocconi University, BSc in International Economics, Management and Finance (Milan, Italy); Central European University, BA in Business Administration (Budapest, Hungary)"
197527,"Anne-Sophie PELLETIER","Anne-Sophie","PELLETIER","https://www.europarl.europa.eu/mepphoto/197527.jpg",TRUE,"1976-02-05T00:00:00","Besançon","F",""
197754,"Sandra PEREIRA","Sandra","PEREIRA","https://www.europarl.europa.eu/mepphoto/197754.jpg",TRUE,"1977-03-18T00:00:00",NA,"F",""
197738,"Lídia PEREIRA","Lídia","PEREIRA","https://www.europarl.europa.eu/mepphoto/197738.jpg",TRUE,"1991-07-26T00:00:00","Se Nova","F",""
197573,"Kira Marie PETER-HANSEN","Kira Marie","PETER-HANSEN","https://www.europarl.europa.eu/mepphoto/197573.jpg",TRUE,"1998-02-23T00:00:00","Frederiksberg C","F",""
